Date,FCPOTOTS Index  (R1),WMMFAMNA Index  (L1),WMMFAMAC Index  (R2)
2011-12-28,959.3,1433878,972611
2011-12-21,986.5,1437464,966773
2011-12-14,991.7,1443286,946148
2011-12-07,997.2,1440596,947520
2011-11-30,1002,1428835,940018
2011-11-23,999.7,1443781,916880
2011-11-16,999.6,1438438,919652
2011-11-09,967.7,1441650,910462
2011-11-02,979.7,1434084,900570
2011-10-26,961.1,1446592,901225
2011-10-19,949.3,1451367,894706
2011-10-12,966.3,1451534,894767
2011-10-05,985.3,1451115,897852
2011-09-28,1007.6,1460336,886272
2011-09-21,1029.8,1459880,869808
2011-09-14,1043.2,1478550,860592
2011-09-07,1065.8,1488415,864068
2011-08-31,1097.8,1483827,863465
2011-08-24,1117.1,1482456,855103
2011-08-17,1146.7,1503484,833807
2011-08-10,1169.4,1512175,813986
2011-08-03,1175.8,1493937,775279
2011-07-27,1205.9,1534804,803728
2011-07-20,1208.6,1542830,830673
2011-07-13,1236.6,1558568,839113
2011-07-06,1215.9,1559414,824380
2011-06-29,1235.9,1572471,812247
2011-06-22,1233,1620761,777844
2011-06-15,1212.1,1634585,770129
2011-06-08,1224.4,1666330,771567
2011-06-01,1201.5,1656228,766829
2011-05-25,1202.8,1663335,779940
2011-05-18,1187.7,1655742,776007
2011-05-11,1162,1659973,783569
2011-05-04,1131.3,1643979,777159
2011-04-27,1107.1,1645000,780547
2011-04-20,1100.2,1624205,779530
2011-04-13,1100.1,1638211,796360
2011-04-06,1093.6,1636033,792675
2011-03-30,1081.7,1617868,803133
2011-03-23,1080.1,1617666,796022
2011-03-16,1076.1,1615173,804407
2011-03-09,1063.1,1629393,800772
2011-03-02,1064.7,1629162,800164
2011-02-23,1046.8,1628111,801379
2011-02-16,1041.9,1625059,807661
2011-02-09,1014.7,1620599,806984
2011-02-02,996.6,1610007,806664
2011-01-26,988.3,1627787,810860
2011-01-19,916.8,1623670,814090
2011-01-12,938.4,1635747,835016
2011-01-05,968.1,1626472,842680
2010-12-29,971.5,1630791,856498
2010-12-22,976.9,1624910,842219
2010-12-15,984.2,1628356,849481
2010-12-08,1009.9,1658610,856068
2010-12-01,1022.6,1651315,838767
2010-11-24,1066.9,1655660,838042
2010-11-17,1086.6,1641160,836002
2010-11-10,1134,1644543,837734
2010-11-03,1145.4,1641161,837630
