Date;Last Price;Open Price;High Price;Low Price;SMAVG (200);SMAVG (50);RX1 Comdty - Volume
2020-01-07;172.12;172.21;172.31;171.91;171.5;171.16;582593
2020-01-06;172.24;172.45;172.6;172.07;171.46;171.14;496413
2020-01-03;172.12;171.1;172.38;171.1;171.42;171.12;528221
2020-01-02;171.26;170.54;171.42;170.19;171.38;171.1;509178
2019-12-30;170.49;171.58;171.68;170.42;171.35;171.11;360676
2019-12-27;171.61;171.69;171.79;171.42;171.32;171.13;168137
2019-12-23;171.43;171.56;171.88;171.3;171.28;171.14;193933
2019-12-20;171.54;171.26;171.63;171.06;171.25;171.16;304511
2019-12-19;171.28;171.6;171.66;170.9;171.21;171.18;562470
2019-12-18;171.48;172.11;172.4;171.35;171.18;171.21;485077
2019-12-17;172.13;172.03;172.29;171.96;171.14;171.27;417672
2019-12-16;171.92;172.16;172.43;171.8;171.11;171.32;511324
2019-12-13;172.1;171.23;172.31;170.75;171.08;171.36;729472
2019-12-12;171.75;172.7;172.99;171.61;171.05;171.41;665976
2019-12-11;172.63;172.31;172.88;172.17;171.02;171.47;431703
2019-12-10;172.23;172.34;172.45;172.07;170.98;171.49;488016
2019-12-09;172.37;172.1;172.59;172.02;170.95;171.53;374594
2019-12-06;170.53;170.37;170.53;170.18;170.91;171.57;12897
2019-12-05;170.32;170.7;170.84;170.06;170.89;171.64;147383
2019-12-04;170.7;171.06;171.31;170.56;170.87;171.72;966680
2019-12-03;171.04;170.02;171.14;169.74;170.85;171.79;1645820
2019-12-02;169.92;170.99;171;169.85;170.83;171.87;1684294
2019-11-29;171.07;171.29;171.4;170.91;170.81;171.96;884112
2019-11-28;171.26;171.42;171.6;171.16;170.79;172.01;486681
2019-11-27;171.35;171.3;171.52;171.13;170.76;172.05;639286
2019-11-26;171.45;171.04;171.49;170.88;170.74;172.09;497717
2019-11-25;171.09;171.15;171.24;170.94;170.71;172.12;473056
2019-11-22;171.24;170.65;171.27;170.31;170.69;172.15;687670
2019-11-21;170.75;171.24;171.35;170.56;170.66;172.18;686084
2019-11-20;171.09;171;171.56;170.95;170.64;172.24;703989
2019-11-19;170.91;170.84;171;170.66;170.62;172.31;448277
2019-11-18;170.84;170.89;171.06;170.55;170.6;172.37;481696
2019-11-15;170.85;170.92;171.05;170.65;170.57;172.43;413777
2019-11-14;170.99;170.26;171.15;170.26;170.54;172.57;620539
2019-11-13;170.36;169.75;170.45;169.67;170.51;172.7;703016
2019-11-12;169.54;169.67;169.83;169.26;170.49;172.86;576490
2019-11-11;169.56;169.64;169.99;169.46;170.47;173.06;350119
2019-11-08;169.69;169.4;169.89;169.12;170.45;173.24;693212
2019-11-07;169.57;170.87;170.97;169.17;170.43;173.43;1142561
2019-11-06;170.67;170.45;170.94;170.22;170.4;173.62;567253
2019-11-05;170.53;170.9;170.95;170.3;170.37;173.79;736200
2019-11-04;170.99;171.47;171.47;170.91;170.35;173.96;449131
2019-11-01;171.42;171.84;171.99;171.35;170.32;174.11;485299
2019-10-31;171.76;171.24;172.03;171.17;170.28;174.25;723716
2019-10-30;171.06;171.05;171.36;170.79;170.24;174.38;520842
2019-10-29;171.04;170.68;171.14;170.6;170.21;174.53;507309
2019-10-28;170.7;171.26;171.35;170.56;170.17;174.69;569508
2019-10-25;171.35;171.67;171.8;171.12;170.14;174.84;480486
2019-10-24;171.83;171.55;171.96;171.16;170.11;174.98;705591
2019-10-23;171.67;171.68;171.93;171.44;170.08;175.13;490851
2019-10-22;171.42;170.88;171.73;170.76;170.04;175.26;533814
2019-10-21;170.89;171.45;171.46;170.78;170;175.39;432770
2019-10-18;171.49;171.73;171.88;171.24;169.97;175.52;441619
2019-10-17;171.72;171.64;171.93;170.73;169.93;175.63;845835
2019-10-16;171.58;171.72;172.29;171.37;169.89;175.73;884388
2019-10-15;171.89;172.57;172.82;171.63;169.85;175.85;742153
2019-10-14;172.58;172.38;172.94;172.32;169.82;175.94;405054
2019-10-11;172.39;172.67;173.15;172.08;169.78;176.02;951592
2019-10-10;173;174.06;174.14;172.57;169.73;176.09;793955
2019-10-09;174.05;174.52;174.56;173.85;169.69;176.13;481564
2019-10-08;174.67;174.24;174.69;173.86;169.63;176.15;556102
2019-10-07;174.31;174.54;174.72;174.17;169.58;176.15;337410
2019-10-04;174.49;174.53;174.75;174.33;169.52;176.16;429513
2019-10-03;174.46;173.88;174.78;173.88;169.47;176.15;618526
2019-10-02;173.79;173.86;174.04;173.6;169.41;176.14;612929
2019-10-01;174.2;174.23;174.25;173.31;169.36;176.15;848640
2019-09-30;174.25;174.35;174.36;173.77;169.31;176.15;531343
2019-09-27;174.21;174.35;174.54;174.05;169.25;176.14;451673
2019-09-26;174.32;174.11;174.46;174.03;169.19;176.12;523324
2019-09-25;174.36;174.88;174.97;173.93;169.14;176.1;692838
2019-09-24;174.73;174.19;174.88;174.03;169.08;176.07;576509
2019-09-23;174.54;173.6;174.64;173.29;169.03;176.02;683113
2019-09-20;173.47;173.32;173.84;173.23;168.97;175.98;475445
2019-09-19;173.3;173.07;173.4;172.86;;175.94;531380
2019-09-18;173.37;172.87;173.48;172.65;;175.91;505359
2019-09-17;172.87;172.99;173.16;172.67;;175.89;581502
2019-09-16;172.98;172.51;173.13;172.4;;175.9;600072
2019-09-13;172.44;173.52;173.63;172.18;;175.91;948891
2019-09-12;173.93;174.03;175.62;173.23;;175.93;1235881
2019-09-11;174.24;173.8;174.38;173.65;;175.93;619386
2019-09-10;173.98;174.31;174.52;173.75;;175.91;711969
2019-09-09;174.24;175.21;175.3;174.19;;175.9;645230
2019-09-06;177.7;177.35;177.78;177.09;;175.88;8212
2019-09-05;177.31;178.57;178.57;176.97;;175.78;225596
2019-09-04;178.52;178.97;179;177.98;;175.69;972346
2019-09-03;179.32;178.89;179.67;178.81;;175.57;1614613
2019-09-02;178.96;179.18;179.2;178.6;;175.44;608729
2019-08-30;179.1;178.91;179.27;178.63;;175.31;721955
2019-08-29;178.94;179.2;179.36;178.57;;175.17;734952
2019-08-28;179.3;179;179.46;178.88;;175.04;709332
2019-08-27;178.94;178.51;179.07;178.45;;174.9;518167
2019-08-26;178.52;179.08;179.21;178.22;;174.78;448005
2019-08-23;178.54;178.01;178.83;177.48;;174.64;648613
2019-08-22;178.04;178.73;178.94;177.65;;174.51;886720
2019-08-21;178.68;178.76;178.83;178.19;;174.38;545223
2019-08-20;178.9;178.19;179.19;178.19;;174.23;638035
2019-08-19;178.15;178.72;178.84;177.82;;174.08;738395
2019-08-16;178.6;179.39;179.58;178.14;;173.94;739016
2019-08-15;179.06;178.4;179.66;178.18;;173.8;885057
2019-08-14;178.31;177.71;178.49;177.62;;173.6;638591
2019-08-13;177.68;177.5;177.84;177.31;;173.41;579108
2019-08-12;177.44;177.15;177.68;177.03;;173.22;340323
2019-08-09;177.16;177.5;177.55;176.96;;173.04;535282
2019-08-08;176.93;177;177.42;176.38;;172.87;851117
2019-08-07;177.36;176.75;177.74;176.72;;172.69;801144
2019-08-06;176.58;176.61;176.74;176.12;;172.5;538517
2019-08-05;176.22;175.98;176.63;175.93;;172.32;588132
2019-08-02;175.82;175.72;176.1;175.62;;172.15;864955
2019-08-01;175.44;175.03;175.88;174.73;;171.98;728992
