Date,SPY US Equity  (R1),QQQ US Equity  (R1),TLT US Equity  (R1),IEML LN Equity  (L3),EMBE LN Equity  (R1),EUNH GY Equity  (R3),EMLC US Equity  (L2),IS0M GY Equity  (L4),EWJ US Equity  (R4),ARKK US Equity  (R1),IMEU NA Equity  (L1),IAU US Equity  (R1),COPA LN Equity  (R2),USO US Equity  (R1)
2018-05-15,271.1,167.87,117.25,63.16,93.86,122.6,35.92,158.965,60.99,42.73,24.8,12.4,28.59,115.2
2018-05-14,272.98,169.75,118.6,64.39,94.71,122.84,36.32,159.33,61.62,42.95,24.775,12.61,28.97,115.04
2018-05-11,272.85,169.46,119.23,64.4,94.63,123.17,36.54,159.64,61.28,42.8772,24.81,12.65,29.17,114
2018-05-10,272.02,169.62,118.93,64.335,94.26,123.05,36.68,159.15,60.82,42.67,24.81,12.67,29.06,115.28
2018-05-09,269.5,167.88,117.98,63.555,93.02,123.095,36.06,159.61,60.47,42.34,24.78,12.6,28.57,114.96
2018-05-08,266.92,166.07,118.69,63.39,92.93,123.04,36.08,159.675,60.99,41.29,24.565,12.62,28.26,112.48
2018-05-07,266.92,166.24,118.8,,,123.485,36.54,160.69,60.8,40.95,24.6,12.62,,112.8
2018-05-04,266.02,164.87,118.99,64.74,93.98,123.27,36.86,160.265,60.73,39.91,24.38,12.62,28.75,112.72
2018-05-03,262.62,161.8,118.81,64.61,94.235,123.62,36.84,160.885,60.29,39.29,24.19,12.59,28.74,110.56
2018-05-02,263.2,161.82,118.28,64.89,94.485,123.205,36.88,160.485,60.23,39.55,24.34,12.53,28.73,109.36
2018-05-01,264.98,162.78,118.41,65.33,94.955,,37.18,,60.59,39.57,,12.53,28.3,108.88
2018-04-30,264.51,160.94,119.1,65.94,95.575,123.355,37.46,160.485,60.64,39.09,24.24,12.62,28.71,110.4
2018-04-27,266.56,162.09,118.89,66.26,95.515,123.47,37.74,160.905,60.78,39.38,24.185,12.71,28.67,109.84
2018-04-26,266.31,161.99,117.98,65.8,95.58,123.335,37.58,160.86,60.95,39.54,24.1,12.65,29.4,110.16
2018-04-25,263.63,158.65,117.16,65.59,95.53,123.015,37.58,160.55,60.58,38.86,23.86,12.69,29.545,109.76
2018-04-24,262.98,158.46,117.95,66.38,96.05,123.025,37.82,160.655,60.39,39.63,24.015,12.79,29.58,109.44
2018-04-23,266.57,161.89,118.49,66.42,96.03,123.005,37.94,160.415,60.61,40.2,24.015,12.72,29.33,111.36
